Name;Programming language, toolkit;Operating system;License;Integration;Languages;Network protocols;Current version;Last release date;Server functionality;Visualization
AnkhSVN;C#, SharpSvn;Microsoft Windows;Apache License;Microsoft Visual Studio (all editions except Express);English;http, https, svn, svn+ssh, file;2.6.12735;hideyes;No;Diff, blame, history, properties
Cornerstone;Xcode;macOS;Proprietary, free trials available;Standalone GUI;English;http, https, svn, svn+ssh, file;3.1;hideyes;No;Diff, blame, history, properties
CODESYS SVN;C#, SharpSvn;Microsoft Windows;proprietary, trials can be negotiated;SVN plugin for CODESYS V3;English, German;http, https, svn, svn+ssh, file;V4.1.0.2 (based on SVN 1.9.4);hideyes;No;Diff, merge, log
eSvn;C++, Qt;Unix-like operating systems (GNU/Linux distributions, FreeBSD, Sun Solaris and others), Mac OS X and Windows;GPL;GUI, standalone (like WinCVS, Cervisia);English;http, svn;0.6.12;hideFor *nix OSs: yes. For Windows: yes;No;dunno
kdesvn;C++, Qt;Linux, Unix, Mac OS X;GPL;Konqueror, Dolphin, standalone;English;file, http, https, (k)svn, (k)svn+file, (k)svn+http, (k)svn+https, (k)svn+ssh;2.0.0;hideyes;Yes;dunno
PixelNovel Timeline;C++;Mac OS X, Microsoft Windows;Free if used with PixelNovel web storage, 30-day trial with commercial upgrade otherwise;Adobe Photoshop;English;svn;1.0;hideyes;dunno;dunno
QSvn;C++, Qt;Linux, Unix, Mac OS X, Microsoft Windows;GPL;GUI, standalone (like WinCVS);English;;0.8.3;hideyes;No;dunno
RabbitVCS;Python, GTK+;Linux;GPL;Nautilus, Thunar, Gedit, CLI;ca, cs, de, en, es, fa, fr, he, hr, it, ja, nb, nl, pl, pt, ro, ru, sk, sl, sv, zh_CN;http, https, svn, svn+ssh, file;0.17;hideyes;dunno;dunno
RapidSVN;C++, wxWidgets;Linux, Unix, Mac OS X, Microsoft Windows, Solaris, many more;GPL;GUI, standalone;Unicode, many;;0.12.1;hideyes;No;External
SubTile;XUL, Javascript;Linux, Unix, Mac OS X, Microsoft Windows (Any with Xulrunner or Firefox);GPL, Mozilla Public License, Apache License;GUI, standalone;English;http, https, svn, svn+ssh;0.2;hideyes;No;Diff, merge, revision graph
SVN Notifier;C#;Microsoft Windows;GPL;GUI, standalone. It needs TortoiseSVN installed.;English;http, https, svn, svn+ssh, file;1.9.3;hideyes;dunno;dunno
TortoiseSVN;C++, MFC;Microsoft Windows (32/64-bit);GPL;Windows Shell (Explorer);54 languages (including en);http, https, svn, svn+ssh, file, svn+XXX;1.11.0;hideyes;yes;Diff, merge, Revision Tree, blame
Trac;Python;Linux, Unix, Mac OS X, Microsoft Windows;Modified BSD;web-based;[31 languages];file;1.01;hideyes;yes;Log
Version Control for engineers;-;Windows;freeware;GUI, standalone;English;http, https, svn, file;0.20;hideyes;No;Internal image diff, external diff, diff for MS Word doc, MS Visio VSD drawings, DWG and DXF drawings, Kompas CDW, commit logging
ViewVC;Python;http, https;""two-clause Berkeley-style"";web-based;English;http, https, svn, svn+ssh, file;1.1.23;hideyes;dunno;Diff, annotation, blame, revision graph
VisualSVN;;Microsoft Windows (32/64-bit);proprietary;Microsoft Visual Studio (all editions except Express);English;http, https, svn, svn+ssh, file;6.0.4;hideyes;yes;dunno
Xcode;Objective-C, Cocoa;Mac OS X;Proprietary, free on Mac App Store;Xcode IDE;English;;5.0.1 (4H127);hideyes;dunno;dunno
