Format|Null|Boolean true|Boolean false|Integer|Floating-point|String|Array|Associative array/Object
ASN.1(XML Encoding Rules)|<code><foo /></code>|true|false|685230|6.8523015e+5|<code><foo>A to Z</foo></code>| |An object (the key is a field name): A data mapping (the key is a data value):a
Candle Markup|(), """"|true|false|685230-685230|6.8523015e+5|""A to Z""""""""A to Z""""""|(true, (), -42.1e7, ""A to Z"")|or
CSVb|nulla(or an empty element in the row)a|1atruea|0afalsea|685230-685230a|6.8523015e+5a|<code>A to Z</code>""We said, """"no"""".""|true,,-42.1e7,""A to Z""| 
edn|nil|true|false|685230-685230685230N|6.8523015e+56.8523015e+5M|""A to Z""""We said, \""no\"".""|[true, nil, -42.1e7, ""A to Z""]|{""42"" true ""A to Z"" [1, 2, 3]}
Format|Null|Boolean true|Boolean false|Integer|Floating-point|String|Array|Associative array/Object
Ion|nullnull.nullnull.boolnull.intnull.floatnull.decimalnull.timestampnull.stringnull.symbolnull.blobnull.clobnull.structnull.listnull.sexp|true|false|685230-6852300xA74AE0b111010010101110|6.8523015e5|""A to Z""A to Z|[true, null, -42.1e7, ""A to Z""]|{'42': true, 'A to Z': [1, 2, 3]}
Netstringc|0:,a4:null,a|1:1,a4:true,a|1:0,a5:false,a|6:685230,a|9:6.8523e+5,a|<code>6:A to Z,</code>|29:4:true,0:,7:-42.1e7,6:A to Z,,|<code>41:9:2:42,1:1,,25:6:A to Z,12:1:1,1:2,1:3,,,,</code>a
JSON|null|true|false|685230-685230|6.8523015e+5|<code>""A to Z""</code>|[true, null, -42.1e7, ""A to Z""]|{""42"": true, ""A to Z"": [1, 2, 3]}
OGDLSeptember 2009|nulla|truea|falsea|685230a|6.8523015e+5a|""A to Z""'A to Z'NoSpaces|(true, null, -42.1e7, ""A to Z"")|
Format|Null|Boolean true|Boolean false|Integer|Floating-point|String|Array|Associative array/Object
OpenDDL|ref {null}|bool {true}|bool {false}|int32 {685230}int32 {0x74AE}int32 {0b111010010101110}|float {6.8523015e+5}|string {""A to Z""}|Homogeneous array:Heterogeneous array:| 
PHP's  &|N;|b:1;|b:0;|i:685230;i:-685230;|d:685230.15;dd:INF;d:-INF;d:NAN;|s:6:""A to Z"";|a:4:{i:0;b:1;i:1;N;i:2;d:-421000000;i:3;s:6:""A to Z"";}|Associative array:a:2:{i:42;b:1;s:6:""A to Z"";a:3:{i:0;i:1;i:1;i:2;i:2;i:3;}}Object:O:8:""stdClass"":2:{s:4:""John"";d:3.14;s:4:""Jane"";d:2.718;}d
Pickle (Python)| | | | | | | | 
Property list(plain text format)|n/a|<*BY>|<*BN>|<*I685230>|<*R6.8523015e+5>|""A to Z""|( <*BY>, <*R-42.1e7>, ""A to Z"" )| 
Property list(XML format)|n/a| | |685230|6.8523015e+5|<code><string>A to Z</string></code>||
Protocol Buffers|n/a|true|false|685230-685230|20.0855369|""A to Z""""sdfff2 \000\001\002\377\376\375""""q\tqq<>q2&\001\377""| |thing1: ""blahblah""thing2: 18923743thing3: -44thing4 {}enumeratedThing: SomeEnumeratedValuething5: 123.456[extensionFieldFoo]: ""etc""[extensionFieldThatIsAnEnum]: EnumValue
Format|Null|Boolean true|Boolean false|Integer|Floating-point|String|Array|Associative array/Object
S-expression|NILnil|T#tftrue|NIL#fffalse|685230|6.8523015e+5|abc""abc""#616263#3:abc{MzphYmM=}|(T NIL -42.1e7 ""A to Z"")|((42 T) (""A to Z"" (1 2 3)))
transit|null|true|false|685230-685230""~n685230""|6.8523015e+5""~f685230.15""|""A to Z""""We said, \""no\"".""|[true,null,-4.21E8,""A to Z""]|[""^ "",""42"",true,""A to Z"",[1,2,3]]
YAML|~nullNullNULL|yYyesYesYESonOnONtrueTrueTRUE|nNnoNoNOoffOffOFFfalseFalseFALSE|685230+685_230-685230024722560x_0A_74_AE0b1010_0111_0100_1010_1110190:20:30|6.8523015e+5685.230_15e+03685_230.15190:20:30.15.inf-.inf.Inf.INF.NaN.nan.NAN|A to Z""A to Z""'A to Z'|[y, ~, -42.1e7, ""A to Z""]|{""John"":3.14, ""Jane"":2.718}
XMLe and SOAP|<code><null /></code>|true|false|685230|6.8523015e+5|<code>A to Z</code>|true-42.1e7A to Z|
XML-RPC| |1|0|685230|6.8523015e+5|A to Z||
