Date|Nation|Name|Asian First|World achievements
4 October 1957|Soviet Union (now under Kazakhstan)|Baikonur Cosmodrome|Satellite launch pad|The first satellite, Sputnik 1, was launched.
11 February 1970|Japan|Ohsumi|Satellite|The smallest satellite launch vehicle (L-4S; 9.4t weight, 1.4m diameter)
24 February 1975|Japan|Taiyo|Solar probe|26 October 1975
China|FSW-0|Satellite recovery[50]|26 October 1975|8 July 1976
China|FSW-0: – 10m (1975) FSW-1B: – 4m (1992)[51] Beidou: – 0.5m (till 2007)[52]|High resolution imaging satellite|23 February 1977|21 February 1979
Indonesia|Palapa A1|Geosynchronous satellite (launched by NASA)|23 July 1980|20 September 1981
Japan|N-I|Geosynchronous launch|8 January 1985|19 March 1990
Japan|Hakucho|Space observatory|7 April 1990|10 April 1993
Vietnam|Ph?m Tuân|Asian in space (Soyuz 37)|8 July 1994|19 November 1997
China|FB-1|Simultaneous satellite launch[53]|28 November 1997|3 July 1998
Japan|Sakigake|Leaving Earth orbit|The first interplanetary launch by solid rocket (M-3SII)|30 October 2000
Japan|Hagoromo|Reach lunar orbit (assumed)|10 September 2002|15 October 2003
China|CZ-3|Commercial launch (AsiaSat 1)|15 October 2003|19 November 2005
Japan|Hiten|Intentional lunar impact|The first aerobraking test[54]|11 January 2007
Japan|Chiaki Mukai|Asian woman in space (STS-65)|23 February 2008|11 March 2008
Japan|Takao Doi|Spacework (STS-87)|25 April 2008|27 September 2008
Japan|ETS-VII|Rendezvous docking|27 September 2008|14 November 2008
Japan|Nozomi|Martian mission (Failure)|23 January 2009|20 May 2010
China|Beidou|Satellite navigation system|21 May 2010|25 August 2011
Japan|Kodama[55]|Data relay satellite (with ESA)|29 September 2011|18 June 2012
China|Yang Liwei|First man in space launched by an Asian space program|14 December 2013|24 September 2014
China|Shenzhou 5|Manned spacecraft||
Japan|Hayabusa|Soft-landed probe on extraterrestrial object|The first asteroid ascent, sample return from an asteroid|
China|FY-1C|ASAT test|Highest in history with altitude 865 km, also the fastest with speed 18k miles|
Japan|WINDS|Internet satellite|The fastest internet satellite[56]|
Japan|Japanese Experiment Module|Manned foundations in space (STS-123, STS-124, STS-127)|The world’s largest pressurized volume in space[57]|
China|Tianlian I|Indigenous Tracking & Data Relay Satellite System First TDRS system to support manned missions||
China|Zhai Zhigang (Shenzhou 7)|Indigenous EVA||
China|BanXing|Manned spacecraft-launched satellite||
India|Moon Impact Probe|Probe designed for Lunar impact|Discovered water on the Moon before impact.[58][59]|
Japan|GOSAT|Greenhouse gas explorer[60]||
Japan|Akatsuki|First Asian Venus mission||
Japan|IKAROS|Solar sail|The first spacecraft to successfully demonstrate solar-sail technology in interplanetary space|
China|Chang'e 2|Lunar probe with extended deep space missions (asteroid mission to 4179 Toutatis).||
China|Tiangong-1|First Asian Space station||
China|Shenzhou 9|First manned space docking by an Asian country (with Tiangong-1)||
China|Chang'e 3/Yutu|First lunar soft landing and lunar rover by an Asian country.||
India|Mars Orbiter Mission|First successful Mars mission by an Asian country|First Martian mission by a country to succeed on the first attempt. Third country to do so after the USSR and the USA.|
