Program;Operating system;License;Protocols, based on, compatible with;Encryption;Other abilities;Key and target markets;Latest release
3CX Phone System;Windows, Linux;proprietary;SIP;[[Transport Layer Security|TLS]], [[Secure Real-time Transport Protocol|SRTP]];Voice and video IP telephony and conferencing, voice mail and instant messaging;< 50,000 users;15.5 "; 07
AS5300;Linux, Windows Server 2003;proprietary;SIP, UNIStim, MLPP;[[Secure Sockets Layer|SSL]], [[Transport Layer Security|TLS]],"
[[Secure Real-time Transport Protocol|SRTP]], SDESC;Voice and Video IP telephony, Voice and Video conferencing, voice mail and instant messaging;1,000 - 25,000 users;1.0"; 01
AskoziaPBX;no additional OS required (Linux based);[[GNU General Public License|GPL]], [[Open core]];SIP, H.323, IAX, SCCP;no;ISDN, analog, Voicemail, Conferencing, MOH, ACD, IVR, Call forwarding, Call recording;SME up to 50 users;2.2.2"; 12
Asterisk PBX;Linux, BSD, macOS, Solaris;Mixed: [[GNU General Public License|GPL]], [[Proprietary software|Proprietary]];SIP, H.323, IAX, MGCP, VOFR, XMPP, Google Talk, TDM;[[Transport Layer Security|TLS]], [[Secure Real-time Transport Protocol|SRTP]];VoIP Gateway, voicemail, basic accounting (can be expanded by interface with ODBC-compliant database), billing, conferencing, hot-desking, IVR trees with conditional logic, call queuing, automated call distribution;Enthusiasts, developers, enterprise users (capacity dependent on server design, scalable across multiple servers);Latest stable software release/Asterisk
Brekeke SIP Server;Linux, Windows;proprietary;SIP;[[Transport Layer Security|TLS]], [[Secure Real-time Transport Protocol|SRTP]];SIP Registrar, SIP Proxy;SIP Service Providers, VoIP service providers, Healthcare, Security;3.8.3.4"; 02
Brekeke PBX;Linux, Windows;proprietary;SIP;[[Transport Layer Security|TLS]], [[Secure Real-time Transport Protocol|SRTP]];Voice and Video IP telephony, Voice and Video conferencing, and voice mail;Hosted service providers, Mid-large enterprise;3.8.4.4"; 18
CallMax Softswitch;Linux;proprietary;SIP, H.323;[[Secure Sockets Layer|SSL]], [[Transport Layer Security|TLS]], [[HTTP Secure|HTTPS]];Integrated billing, IP PBX Platform, Calling card platform, Callshop module, Customer Web Portal, Retail SMS Platform.;SIP Service Providers, Residential & Business VoIP providers, Corporate Clients, Other Class 5 softswitch users;3.6"; 10
CommuniGate Pro;Linux, BSD, macOS, Windows, Solaris, HPUX, AIX;proprietary;SIP, XIMSS Protocol, XMPP, WebRTC;[[Secure Sockets Layer|SSL]], [[Transport Layer Security|TLS]], [[Secure Real-time Transport Protocol|SRTP]];SIP Registrar/Proxy, Authentication, Diameter, RADIUS, ENUM, many others;Carriers, enterprises, MNOs, ISPs, SaaS providers;6.1.11"; 06
Dial-Gate Softswitch PBX;Linux, Windows;proprietary;SIP;[[Transport Layer Security|TLS]], [[Secure Real-time Transport Protocol|SRTP]];Billing server, real-time account and line monitoring, web-based user interface;Softswitch users, service providers;4.3"; 06
Dial-Office IP-PBX;Linux, Windows;proprietary;SIP;[[Transport Layer Security|TLS]], [[Secure Real-time Transport Protocol|SRTP]];Unified Communications, Conferencing, remote worker support and voice mail;Small businesses, Mid-large enterprises;4.1"; 12
Elastix;Linux;[[GNU General Public License|GPL]];SIP, IAX, H323, XMPP;[[Transport Layer Security|TLS]], [[Secure Real-time Transport Protocol|SRTP]];Unified communication server that also supports chat, mail and fax.;Capacity dependent on server design, scalable across multiple servers;2.5.0 (stable), 3.0.0 (stable), 4.0.0 (stable)"; 10
FreeSWITCH;Linux, BSD, macOS, Solaris, Windows;[[Mozilla Public License]];SIP, NAT-PMP, STUN, SIMPLE, XMPP, Google Talk (Jingle), IAX, H.323, MRCP, RSS, Skype;[[Transport Layer Security|TLS]], [[Secure Real-time Transport Protocol|SRTP]], [[ZRTP]];Recording, Voicemail, Conferencing, RADIUS, ENUM, IM Proxy, Streaming, Media gateway, Soft-PBX, IVR (modular);Large soft-switch users, home PBX users, softphone users;Latest stable software release/FreeSWITCH
FreePBX;Linux, BSD, Solaris;[[GNU General Public License|GPL]];SIP, IAX, H323, XMPP;[[Transport Layer Security|TLS]], [[Secure Real-time Transport Protocol|SRTP]];Complete PABX Service, based on Asterisk and PHP 5.6"; provides a full replacement for a legacy non-VoIP phone system"; under current and active development;Scales from Raspberry PI (3 users) to multiple parallel clusters (10K+ simultaneous calls);14.0"; 1
GNU Gatekeeper;Linux, FreeBSD, macOS, Windows XP-2000-Vista-7;[[GNU General Public License|GPL]];H.323;[[H.235]];H.460.18 firewall traversal, routing, accounting;video conferencing, VoIP carriers large and small;3.7"; 15
HERO Hosted PBX;Linux, Windows;proprietary;SIP;[[Transport Layer Security|TLS]], [[Secure Real-time Transport Protocol|SRTP]];Unified Communications, billing server, cloud-based management and web interface;Mid-large enterprises, VoIP carriers and service providers, telecom operators;4.3"; 12
