Language|Intended use|Imperative|Object-oriented|Functional|Procedural|Generic|Reflective|Event-driven|Other paradigm(s)|Standardized?
ActionScript 3.0|Application, client-side, web|Yes|Yes|Yes|Ada|Aldor|ALGOL 58|Yes|ALGOL 60|1996, ECMA
Application, embedded, realtime, system|Yes|Yes[2]|ALGOL 68|Yes[3]|Yes[4]|Ateji PX|APL|concurrent,[5] distributed,[6]|1983, 2005, 2012, ANSI, ISO, GOST 27831-88[7]|Assembly language
Highly domain-specific, symbolic computing|Yes|Yes|Yes|AutoHotkey|AutoIt|Bash|Ballerina|BASIC|No|BBj
Application|Yes|BeanShell|BitC|BLISS|BlitzMax|Blue|Boo|Bro|No|C
Application|Yes|C++|C#|Clarion|Clean|Clojure|CLU|COBOL|1960, IFIP WG 2.1, ISO[8]|Cobra
Application|Yes|ColdFusion (CFML)|Common Lisp|COMAL 80|Crystal|Cython|D|concurrent|1968, IFIP WG 2.1, GOST 27974-88,[9]|Dart
Parallel application|Dylan|Yes|Eiffel|Elixir|Erlang|Euphoria|Factor|pi calculus|No|Falcon
Application, data processing|Yes|Yes|Yes|Yes|Yes|Yes|Yes|array-oriented, tacit|1989, ISO|FP
General|Yes|F#|Forth|Fortran|FreeBASIC|G2|Gambas|any, syntax is usually highly specific, related to the target processor|No|Game Maker Language
GUI automation (macros), highly domain-specific|Yes|Yes[10]|GLBasic|Yes|Go|Gosu|Yes|GraphTalk|No|Groovy
GUI automation (macros), highly domain-specific|Yes|Harbour|Haskell|Yes|Haxe|HyperNext|Yes|HyperTalk|No|Io
Shell, scripting|Yes|IPL|ISLISP|Yes|J|JADE|Java|JavaScript|Joy|Julia
Integration, agile, server-side, general|Yes|Yes|Yes|Yes|K|Kotlin|Yes|concurrent, transactional, statically and strongly typed programming, diagrammatic / visual programming|2018 De facto standard via Ballerina Language Specification[11]|LabVIEW (G)
Application, education|Yes|Lisp|LiveCode|Yes|Logtalk|LSL|Lua|Maple|1983, ANSI, ISO, ECMA|Mathematica
Application, business, web|MATLAB|Yes|Modula-2|Yes|Modula-3|MUMPS (M)|Nim|Oberon|No|Object Pascal
Application, scripting|Yes|Yes|Yes|Objective-C|OCaml|Yes|Occam|Opa|In progress, JCP[12]|OpenLisp
System|Yes|Oxygene|Yes|Oz-Mozart|Pascal|Perl|Perl 6|PHP|No|PL/I
System|Plus|PowerShell|Prolog|Yes|PureBasic|Python|R|Racket|No|REALbasic
Application, game|Yes|Yes|Rebol|Yes|RPG|Yes|Ruby|Rust|No|S
Education|Yes|Yes|S-Lang|Scala|Yes|Scheme|Seed7|Simula|No|Small Basic
Application|Smalltalk|SNOBOL|Standard ML|Swift|Tcl|Visual Basic|Visual Basic .NET|Visual FoxPro|No|Visual Prolog
domain-specific, application|Yes|Wolfram Language|XL|Xojo|XPath/XQuery|Caché Object Script|Yes||No|
Application, system,[13] general purpose, low-level operations|Yes|||Yes|Yes||||1989, ANSI C89, ISO C90, ISO C99, ISO C11[14]|
Application, system|Yes|Yes|Yes|Yes|Yes||||1998, ISO/IEC 1998, ISO/IEC 2003, ISO/IEC 2011,ISO/IEC 2014[15]|
Application, RAD, business, client-side, general, server-side, web|Yes|Yes|Yes[16]|Yes|Yes|Yes|Yes|structured, concurrent|2000, ECMA, ISO[17]|
General, business, web|Yes|Yes|Yes[18]||||||Unknown|
General|||Yes||Yes||||No|
General|||Yes|||||concurrent|No|
General|Yes|Yes||Yes|Yes||||No|
Application, business|Yes|Yes||Yes|||||ANSI X3.23 1968, 1974, 1985; ISO/IEC 1989:1985, 2002, 2014|
Application, business, general, web|Yes|Yes|Yes||Yes|Yes|||No|
Web||Yes||Yes|||||No|
General|Yes|Yes|Yes|Yes|Yes|Yes|Yes|extensible syntax, Array-oriented, syntactic macros, multiple dispatch, concurrent|1994, ANSI|
Education|Yes|||Yes|||||No|
General purpose|Yes|Yes[19]|Yes|Yes||||alpha stage[20]|No|
Application, general, numerical computing|Yes|Yes|Yes|||Yes||aspect-oriented|No|
Application, system|Yes|Yes|Yes|Yes|Yes|Yes||generative, concurrent|No|
Application, web, server-side, mobile, IoT|Yes|Yes|Yes|||||structured|Ecma-408 standard|
Application||Yes|Yes||||||No|
General, application, business, client-side, server-side, web (EWF)|Yes|Yes|Yes[21][22]||Yes|Yes Erl-G|Yes Agents|distributed SCOOP, Void-safe|2005, ECMA, ISO[23]|
Application, distributed|||Yes||||Yes|concurrent, distributed|No|
Application, distributed|||Yes||||Yes|concurrent, distributed|No|
Application||||Yes||Yes|||No|
General|Yes||can be viewed as||Yes|Yes||stack-oriented|No|
General, application||Yes|Yes|Yes||||prototype OOP, message oriented, tabular programming|No|
|||Yes||||||No|
Application|Yes|Yes|Yes||Yes||||No|
