Virtual machine|Languages|Comments|Interpreter|JIT|Implementation language|SLoC
Common Language Runtime (CLR)|C#, C++/CLI, F#, VB.NET|bytecode is CIL; .NET Core Runtime on GitHub|No|Yes|C#, C++|Adobe Flash Player (aka Tamarin)
ActionScript, SWF (file format)|interactive web authoring tool. bytecode is named ""ActionScript Byte Code (.abc)""|Yes|Yes|C++|135k (initially released)|Dis (Inferno)
Limbo|Dis Virtual Machine Specification|Yes|Yes|C|15k + 2850 per JIT arch + 500 per host OS|DotGNU-Portable.NET
CLI languages including: C#|Common Language Runtime clone|No|Yes|C, C#|Forth|Glulx
Forth|Features are simplified, usually include assembler, compiler, text-level and binary-level interpreters, sometimes editor, debugger and OS. Compiling speeds are >20 SKLOC/S and behave much like JIT.|Yes|No|Forth, Forth Assembler|2.8K to 5.6K; advanced, professional implementations are smaller.|HHVM
Inform 6, Inform 7, others|Icon|Yes|No|Various implementations exist|JVM|LLVM
PHP, Hack|Is an open-source virtual machine designed for executing programs written in Hack and PHP.|Yes|Yes|C++, OCaml|Lua|MMIX
Icon|Base source code provides both the interpreter as well as an unsupported compile-to-C version. The runtime code, that is shared between the compiler and the interpreter, is written in a variant of C called RTT.|Yes|No|C, RTT (a custom front-end to C, provided with the base source for Icon).|~180k total. (source to bytecode: ~11k, bytecode interpreter: ~46k, iconc: ~23k, common/headers: ~13k, rtt: ~15k)|Mono
Java, Kotlin, Jython, Groovy, JRuby, C, C++, Clojure, Scala and several others|Reference implementation by Sun ; OpenJDK: code under GPL ; IcedTea: code and tools under GPL|Yes|Yes|JDK, OpenJDK & IcedTea with regular JIT : Java, C, ASM ; IcedTea with the ""Zero"" JIT : Java, C|JVM is around 6500k lines; TCK is 80k tests and around 1000k lines|Oz
C, C++, Kotlin, Objective-C, Ada, Fortran, and Rust|MSIL, C and C++ output are supported. ActionScript Byte Code output is supported by Adobe Alchemy. bytecode is named ""LLVM Bytecode (.bc)"". assembly is named ""LLVM Assembly Language (*.ll)"".|Yes|Yes|C++|811k [4]|NekoVM
Lua|O-code machine|Yes|LuaJIT|C|13k + 7k LuaJIT|p-code machine
MMIXAL|Parrot|Perl virtual machine|CPython|PyPy|Rubinius|Silverlight
CLI languages including: C#, VB.NET, IronPython, IronRuby, and others|Common Language Runtime clone|Yes|Yes|C#, C|2332k|ScummVM
Oz, Alice|SECD|Squirrel|Smalltalk|SQLite|Squeak|TraceMonkey
currently Neko and Haxe|TrueType|Yes|x86 only|C|46k|Valgrind
BCPL|VisualWorks|Vx32 virtual machine|Waba|Yet Another Ruby VM (YARV)|Z-machine|Zend Engine
Pascal|UCSD Pascal, widespread in late 70s including Apple II|||||
Perl (6 & 5), NQP-rx, PIR, PASM, PBC, BASIC, bc, C99, ECMAScript, Lisp, Lua, m4, Tcl, WMLScript, XML, and others||Yes|Yes|C, Perl|111k C, 240k Perl|
Perl|op-code tree walker|Yes|No|C, Perl|175k C, 9k Perl|
Python||Yes|Psyco|C|387k C, 368k Python, 10k ASM, 31k Psyco|
Python|Self-hosting implementation of Python, next generation of Psyco|Yes|Yes|Python||
Ruby|Virtual machine for another Ruby implementation|Yes|Yes|C++, Ruby||
C#, VB.NET|A Micro-version of Microsoft .NET Framework to let applications run sandboxed inside browser|Yes|Yes|C++|7MB (initially released)|
Scumm|Computer game engine|||||
ISWIM, Lispkit Lisp||||||
Squirrel||Yes|Squirrel_JIT|C++|12k|
Smalltalk||||||
SQLite opcodes|Virtual database engine|||||
Squeak Smalltalk|Self hosting implementation of Squeak virtual machine. Rich multi-media support.|Yes|Cog & Exupery|Smalltalk/Slang|110k Smalltalk, ~300K C|
JavaScript|Based on Tamarin|No|Yes|C++|173k|
TrueType|Font rendering engine|Yes|No|C (typically)||
x86/x86-64 binaries|Checking of memory accesses and leaks under Linux|||C|467k [5]|
Smalltalk||No|Yes|C||
x86 binaries|Application-level virtualization for native code|No|Yes|||
|Virtual machine for small devices, similar to Java|||||
Ruby|Virtual machine of the reference implementation for Ruby 1.9 and newer versions|Yes|Yes|C||
Z-Code||||||
PHP||Yes|No|C|75k|
